Rank,Institution,Conference,Division,Total_Points,Winter_Total ,Fall_Total
169,Seton Hall,Big East,DI,50,0,50
169,Siena,MAAC,DI,50,25,50
169,Tennessee Tech,OVC,FCS,50,0,50
169,Troy,Sun Belt,FBS,50,25,50
169,UMKC,Summit,DI,50,0,50
169,VCU,Atlantic 10,DI,50,0,50
169,Wright State,Horizon League,DI,50,25,50
185,Delaware State,MEAC,FCS,47,0,47
185,Rider,MAAC,DI,47,0,47
187,Appalachian State,Sun Belt,FBS,45,25,45
187,Jacksonville State,Conference USA,FBS,45,0,45
187,Louisiana Tech,Conference USA,FBS,45,0,45
187,Old Dominion,Sun Belt,FBS,45,0,45
187,Saint Joseph's,Atlantic 10,DI,45,0,45
187,South Carolina State,MEAC,FCS,45,0,45
193,Iona,MAAC,DI,42,0,42
194,Northern Colorado,Big Sky,FCS,40,25,40
195,George Mason,Atlantic 10,DI,39,0,39
196,Central Michigan,MAC,FBS,35.5,25,35.5
197,UTRGV,Southland,DI,34.5,0,34.5
198,Bucknell,Patriot,FCS,32.5,0,32.5
199,Incarnate Word,Southland,FCS,30,0,30
199,SIU Edwardsville,OVC,DI,30,0,30
199,UMBC,America East,DI,30,5,25
202,Northern Illinois,MAC,FBS,27,27,0
203,IUPUI,Horizon League,DI,26,26,0
204,Boston University,Patriot,DI,25,0,25
204,Campbell,CAA,FCS,25,0,25
204,Central Arkansas,ASUN,FCS,25,0,25
204,Central Connecticut State,NEC,FCS,25,0,25
204,Cleveland State,Horizon League,DI,25,0,25
204,Coastal Carolina,Sun Belt,FBS,25,0,25
204,College of Charleston,CAA,DI,25,25,0
204,Coppin State,MEAC,DI,25,0,25
204,Dayton,Atlantic 10,FCS,25,0,25
204,Drake,Missouri Valley,FCS,25,0,25
204,Eastern Illinois,OVC,FCS,25,0,25
204,FAU,American,FBS,25,0,25
204,FIU,Conference USA,FBS,25,0,25
204,Florida A&M,SWAC,FBS,25,0,25
204,Grambling State,SWAC,FCS,25,0,25
204,Holy Cross,Patriot,FCS,25,25,0
204,Houston Christian,Southland,FCS,25,0,25
204,Illinois Chicago,Missouri Valley,DI,25,0,25
204,Jacksonville,ASUN,DI,25,25,0
204,Lafayette,Patriot,FCS,25,0,25
204,Lamar,Southland,FCS,25,0,25
204,Louisiana,Sun Belt,FBS,25,0,25
204,Maine,America East,FCS,25,0,25
204,McNeese State,Southland,FCS,25,25,0
204,Murray State,Missouri Valley,FCS,25,25,0
204,North Florida,ASUN,DI,25,0,25
204,Pepperdine,WCC,DI,25,0,25
204,Queens (N.C.),ASUN,DI,25,25,0
204,Saint Mary's (CA),WCC,DI,25,25,0
204,San Diego State,Mountain West,FBS,25,0,25
204,San Jose State,Mountain West,FBS,25,0,25
204,Santa Clara,WCC,DI,25,25,0
204,Southeastern Louisiana,Southland,FCS,25,0,25
204,Southern,SWAC,FCS,25,25,0
204,Southern Illinois,Missouri Valley,FCS,25,25,0
204,St. Thomas,Summit,FCS,25,0,25
204,Tennessee State,OVC,FCS,25,25,0
204,UC Irvine,Big West,DI,25,0,25
204,UNLV,Mountain West,FBS,25,0,25
204,UTEP,Conference USA,FBS,25,0,25
204,Western Illinois,OVC,FCS,25,25,0
204,Wisconsin Green Bay,Horizon League,DI,25,25,0
204,Wisconsin Milwaukee,Horizon League,DI,25,0,25
204,Wofford,SoCon,FCS,25,0,25
204,Youngstown State,Horizon League,FCS,25,0,25
249,Binghamton,America East,DI,24,24,0
250,Citadel,SoCon,FCS,23,23,0
251,Buffalo,MAC,FBS,20,20,0
251,Gardner-Webb,Big South,FCS,20,20,0
251,Morgan State,MEAC,FCS,20,20,0
254,Indiana State,Missouri Valley,FCS,17,17,0
255,Bellarmine,ASUN,DI,15,15,0
255,Kent State,MAC,FBS,15,15,0
255,Tennessee Chattanooga,SoCon,FCS,15,15,0
258,Richmond,Atlantic 10,FCS,5,5,0
