Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
,,,,Final,,W. CC,M. CC,,W. FH,,FBS FB,,FCS FB,,W. SOC,,M. SOC,,W. VB,,,M. WP
Rank,Institution,Conference,Division,Fall,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.,Pl.,Pts.
154,Southeastern Louisiana,Southland,FCS,25.00,0,0,0,0,0,0,0,0,17,25,0,0,0,0,0,0,0,0
63,South Dakota State,Summit,FCS,103.00,0,0,0,0,0,0,0,0,9,53,33,25,0,0,33,25,0,0
96,South Dakota,Summit,FCS,70.00,0,0,0,0,0,0,0,0,5,70,0,0,0,0,0,0,0,0
117,North Dakota,Summit,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
117,North Dakota State,Summit,FCS,53.00,0,0,0,0,0,0,0,0,9,53,0,0,0,0,0,0,0,0
126,Denver,Summit,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
126,UMKC,Summit,DI,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
154,St. Thomas,Summit,FCS,25.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,25,0,0
96,Arkansas State,Sun Belt,FBS,70.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,33,25,0,0
96,Texas State,Sun Belt,FBS,70.00,0,0,0,0,0,0,26,45,0,0,33,25,0,0,0,0,0,0
115,James Madison,Sun Belt,FBS,54.00,0,0,0,0,0,0,20,54,0,0,0,0,0,0,0,0,0,0
126,Marshall,Sun Belt,FBS,50.00,0,0,0,0,0,0,0,0,0,0,0,0,17,50,0,0,0,0
140,Georgia Southern,Sun Belt,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,0,0
140,Old Dominion,Sun Belt,FBS,45.00,0,0,0,0,0,0,26,45,0,0,0,0,0,0,0,0,5,25
